sample,ttl_line,ttl_reads
bmi1_rip1,182081028,45520257
bmi1_rip2,90658164,22664541
epop_rip1,128944384,32236096
epop_rip2,127570232,31892558
ezh2_rip1,35980988,8995247
ezh2_rip2,60676492,15169123
hnrnpk_rip1,74475800,18618950
hnrnpk_rip2,127732312,31933078
igg_rip1,77416288,19354072
igg_rip2,77775060,19443765
igg_rip3,68626464,17156616
igg_rip4,103585436,25896359
igg_rip5,76043580,19010895
igg_rip6,93932984,23483246
jarid2_rip1,75734456,18933614
jarid2_rip2,90744456,22686114
mtf2_rip1,31318844,7829711
mtf2_rip2,71548652,17887163
ring1b_rip1,87211200,21802800
ring1b_rip2,92596572,23149143
rybp_rip1,80404664,20101166
rybp_rip2,123961796,30990449
suz12_rip1,90379316,22594829
suz12_rip2,94450884,23612721